ad;🇦🇩 ;62;45;12;-40;-47
ae;🇦🇪 ;81;-28;-53;83;-32
af;🇦🇫 ;-223;82;-7;-15;13
ag;🇦🇬 ;99;18;13;-30;-28
ai;🇦🇮 ;44;-85;28;30;61
al;🇦🇱 ;137;72;17;-28;47
am;🇦🇲 ;72;47;17;-71;53
ao;🇦🇴 ;138;-14;5;-20;37
aq;🇦🇶 ;-149;-50;-17;10;-57
ar;🇦🇷 ;-148;12;-53;30;-14
as;🇦🇸 ;1;-42;-29;29;-43
at;🇦🇹 ;83;70;-79;93;7
au;🇦🇺 ;44;-89;44;8;73
aw;🇦🇼 ;-91;-57;38;2;5
ax;🇦🇽 ;-34;-36;-7;-22;-19
az;🇦🇿 ;-30;8;57;-26;-54
ba;🇧🇦 ;9;-52;16;-15;-14
bb;🇧🇧 ;52;-37;36;-34;-43
bd;🇧🇩 ;9;-67;22;-20;-12
be;🇧🇪 ;81;50;4;-44;-88
bf;🇧🇫 ;48;-14;-73;-71;46
bg;🇧🇬 ;-49;79;161;77;13
bh;🇧🇭 ;9;105;-8;-14;99
bi;🇧🇮 ;-20;46;-5;7;-3
bj;🇧🇯 ;49;51;24;8;-45
bl;🇧🇱 ;-201;81;-26;-9;50
bm;🇧🇲 ;90;55;34;21;40
bn;🇧🇳 ;-8;97;3;10;-4
bo;🇧🇴 ;89;16;-97;5;-3
bq;🇧🇶 ;-54;-9;45;43;48
br;🇧🇷 ;-15;-50;10;-41;-26
bs;🇧🇸 ;15;-73;-14;-23;-67
bt;🇧🇹 ;22;120;-29;10;-25
bw;🇧🇼 ;-110;-5;31;-34;10
by;🇧🇾 ;97;11;-28;-40;52
bz;🇧🇿 ;41;-50;21;1;-6
ca;🇨🇦 ;-12;99;-7;-48;-34
cc;🇨🇨 ;72;-67;29;-26;-11
cd;🇨🇩 ;-69;-63;14;-10;16
cf;🇨🇫 ;16;27;10;11;3
cg;🇨🇬 ;24;60;24;-21;-56
ch;🇨🇭 ;104;87;-36;19;-15
ci;🇨🇮 ;-63;27;-10;-19;-68
ck;🇨🇰 ;39;-87;45;11;62
cl;🇨🇱 ;-17;92;103;76;-70
cm;🇨🇲 ;44;43;0;-15;-7
cn;🇨🇳 ;132;95;-5;-21;25
co;🇨🇴 ;64;78;30;39;18
cr;🇨🇷 ;-57;12;15;-56;20
cu;🇨🇺 ;-35;-31;4;-12;8
cv;🇨🇻 ;-31;-83;3;-37;15
cw;🇨🇼 ;50;-88;48;-22;21
cx;🇨🇽 ;-5;-92;28;-3;0
cy;🇨🇾 ;-231;94;-29;-7;15
